year,state_name,state_code,district_name,district_code,block_name,block_code,num_joint_acc_of_women,num_total_acc_of_women,num_women_beneficiary_worker_with_acc,num_women_beneficiary_active_worker_with_acc
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Rampachodavaram,4907,0,9126,8232,6481
2019-2020,Andhra Pradesh,28,East Godavari,505,Rangampeta,4908,1,6436,7799,5616
2019-2020,Andhra Pradesh,28,Konaseema,747,Ravulapalem,4909,1,7528,8398,5965
2019-2020,Andhra Pradesh,28,Konaseema,747,Rayavaram,4910,0,6569,8420,5319
2019-2020,Andhra Pradesh,28,Konaseema,747,Razole,4911,1,4222,5135,2910
2019-2020,Andhra Pradesh,28,Kakinada,746,Rowthulapudi,6501,0,13467,11623,9786
2019-2020,Andhra Pradesh,28,Konaseema,747,Sakhinetipalle,4912,0,5921,4106,3031
2019-2020,Andhra Pradesh,28,Kakinada,746,Samalkota,4913,0,8409,9336,5818
2019-2020,Andhra Pradesh,28,Kakinada,746,Sankhavaram,4914,0,8709,9209,5896
2019-2020,Andhra Pradesh,28,East Godavari,505,Seethanagaram,4915,1,5875,5353,4565
2019-2020,Andhra Pradesh,28,Kakinada,746,Thallarevu,4916,2,12080,9381,6720
2019-2020,Andhra Pradesh,28,Kakinada,746,Thondangi,4917,0,14436,15359,10221
2019-2020,Andhra Pradesh,28,Kakinada,746,Tuni,4918,0,15242,15415,11925
2019-2020,Andhra Pradesh,28,Kakinada,746,U.Kothapalli,4890,3,11587,13035,9428
2019-2020,Andhra Pradesh,28,Konaseema,747,Uppalaguptam,4919,0,9411,8729,6517
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Vararamachandrapuram,5091,2,6661,6730,5834
2019-2020,Andhra Pradesh,28,Alluri Sitharama Raju,745,Y Ramavaram,4920,2,9984,6962,6154
2019-2020,Andhra Pradesh,28,Kakinada,746,Yeleswaram,4921,3,6752,8458,5433
2019-2020,Andhra Pradesh,28,Palnadu,751,Achampeta,4925,1,8448,10553,7875
2019-2020,Andhra Pradesh,28,Palnadu,751,Amaravathi,4923,0,6878,7852,5736
2019-2020,Andhra Pradesh,28,Bapatla,750,Amruthalur,4924,0,7096,7991,6837
2019-2020,Andhra Pradesh,28,Bapatla,750,Bapatla,4926,0,11143,13419,9253
2019-2020,Andhra Pradesh,28,Palnadu,751,Bellamkonda,4927,2,6828,7120,6384
2019-2020,Andhra Pradesh,28,Bapatla,750,Bhattiprolu,4928,0,5806,8065,6387
2019-2020,Andhra Pradesh,28,Palnadu,751,Bollapalle,4929,0,13981,15645,13308
2019-2020,Andhra Pradesh,28,Guntur,506,Chebrole,4930,0,7740,8358,6639
2019-2020,Andhra Pradesh,28,Bapatla,750,Cherukupalle,4931,0,6362,8513,6928
2019-2020,Andhra Pradesh,28,Palnadu,751,Chilakaluripet,4932,0,7789,8121,6589
2019-2020,Andhra Pradesh,28,Palnadu,751,Dachepalle,4933,0,8788,8048,6931
2019-2020,Andhra Pradesh,28,Guntur,506,Duggirala,4934,0,7489,9359,7632
2019-2020,Andhra Pradesh,28,Palnadu,751,Durgi,4935,0,10960,10822,8763
2019-2020,Andhra Pradesh,28,Palnadu,751,Edlapadu,4936,0,7384,8854,6852
2019-2020,Andhra Pradesh,28,Guntur,506,Guntur,4937,2,3294,5133,3169
2019-2020,Andhra Pradesh,28,Palnadu,751,Gurazala,4938,2,10200,7891,6203
2019-2020,Andhra Pradesh,28,Palnadu,751,Ipuru,4939,0,10135,10361,8666
2019-2020,Andhra Pradesh,28,Guntur,506,Kakumanu,4940,0,7753,7666,6605
2019-2020,Andhra Pradesh,28,Palnadu,751,Karempudi,4941,0,7723,8722,6905
2019-2020,Andhra Pradesh,28,Bapatla,750,Karlapalem,4942,0,9902,10607,8913
2019-2020,Andhra Pradesh,28,Guntur,506,Kollipara,4943,2,7516,8309,6568
2019-2020,Andhra Pradesh,28,Bapatla,750,Kollur,4944,4,7036,9412,7042
2019-2020,Andhra Pradesh,28,Palnadu,751,Krosuru,4945,1,8211,9066,7486
2019-2020,Andhra Pradesh,28,Palnadu,751,Machavaram,4946,0,8433,8750,6197
2019-2020,Andhra Pradesh,28,Palnadu,751,Macherla,4947,0,12135,13235,11192
2019-2020,Andhra Pradesh,28,Guntur,506,Mangalagiri,4948,1,2542,0,0
2019-2020,Andhra Pradesh,28,Guntur,506,Medikonduru,4949,0,6382,7852,5674
