state_name,district_name,block_name,state_code,district_code,block_code,total_shg_loan_amount
Andhra Pradesh,Kakinada,Gollaprolu,28,746,4878,33785000
Andhra Pradesh,Kakinada,Jaggampeta,28,746,4880,30905000
Andhra Pradesh,Kakinada,Kajuluru,28,746,4882,26410000
Andhra Pradesh,Kakinada,Kakinada Rural,28,746,4883,118771032
Andhra Pradesh,Kakinada,Karapa,28,746,4885,23278600
Andhra Pradesh,Kakinada,Kirlampudi,28,746,4887,72805083
Andhra Pradesh,Kakinada,Kotananduru,28,746,4889,5545000
Andhra Pradesh,Kakinada,Pedapudi,28,746,4899,18686872
Andhra Pradesh,Kakinada,Peddapuram,28,746,4900,57431130
Andhra Pradesh,Kakinada,Pithapuram,28,746,4901,94702001
Andhra Pradesh,Kakinada,Prathipadu,28,746,4902,61921000
Andhra Pradesh,Kakinada,Routhulapudi,28,746,6501,31311000
Andhra Pradesh,Kakinada,Samalkota,28,746,4913,51271131
Andhra Pradesh,Kakinada,Sankhavaram,28,746,4914,29210000
Andhra Pradesh,Kakinada,Thallarevu,28,746,4916,21941000
Andhra Pradesh,Kakinada,Thondangi,28,746,4917,223635206
Andhra Pradesh,Kakinada,Tuni,28,746,4918,55892000
Andhra Pradesh,Kakinada,U.Kothapalle,28,746,4890,41330252
Andhra Pradesh,Kakinada,Yeleswaram,28,746,4921,43689526
Andhra Pradesh,Konaseema,Ainavilli,28,747,4866,113332133
Andhra Pradesh,Konaseema,Alamuru,28,747,4867,29202000
Andhra Pradesh,Konaseema,Allavaram,28,747,4868,49697000
Andhra Pradesh,Konaseema,Amalapuram,28,747,4869,71089547
Andhra Pradesh,Konaseema,Ambajipeta,28,747,4870,55915000
Andhra Pradesh,Konaseema,Atreyapuram,28,747,4872,27100000
Andhra Pradesh,Konaseema,I. Polavaram,28,747,4879,27690000
Andhra Pradesh,Konaseema,Kapileswarapuram,28,747,4884,20670000
Andhra Pradesh,Konaseema,Katrenikona,28,747,4886,50807841
Andhra Pradesh,Konaseema,Kothapeta,28,747,4891,45688000
Andhra Pradesh,Konaseema,Malikipuram,28,747,4892,15095000
Andhra Pradesh,Konaseema,Mamidikuduru,28,747,4893,23965000
Andhra Pradesh,Konaseema,Mandapeta,28,747,4894,45740000
Andhra Pradesh,Konaseema,Mummidivaram,28,747,4896,20663000
Andhra Pradesh,Konaseema,P.Gannavaram,28,747,4897,32796000
