year,state_code,state_name,district_code,district_name,block_code,block_name,num_jobcards_applied,num_jobcards_issued,total_reg_workers,women_reg_workers,num_of_active_job_cards
2019-2020,28,Andhra Pradesh,746,Kakinada,4889,Kotananduru,15119,15119,23531,11694,10323
2019-2020,28,Andhra Pradesh,746,Kakinada,4918,Tuni,23573,23573,31526,16152,13621
2019-2020,28,Andhra Pradesh,746,Kakinada,4917,Thondangi,23251,23251,31963,15824,14167
2019-2020,28,Andhra Pradesh,746,Kakinada,4878,Gollaprolu,15332,15332,19042,8109,9965
2019-2020,28,Andhra Pradesh,746,Kakinada,4914,Sankhavaram,18925,18925,18246,9491,7295
2019-2020,28,Andhra Pradesh,746,Kakinada,4902,Prathipadu,19251,19251,24676,12076,12047
2019-2020,28,Andhra Pradesh,746,Kakinada,4921,Yeleswaram,13086,13086,18084,8696,7458
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,4876,Gangavaram,10455,10455,15258,8110,7339
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,4907,Rampachodavaram,11434,11434,15493,8309,7506
2019-2020,28,Andhra Pradesh,745,Alluri Sitharama Raju,4874,Devipatnam,9314,9314,11498,5708,6366
2019-2020,28,Andhra Pradesh,505,East Godavari,4915,Seethanagaram,11364,11364,11532,5503,6714
2019-2020,28,Andhra Pradesh,505,East Godavari,4888,Korukonda,19232,19232,16442,7864,10453
2019-2020,28,Andhra Pradesh,505,East Godavari,4877,Gokavaram,17712,17712,20530,10673,10247
2019-2020,28,Andhra Pradesh,746,Kakinada,4880,Jaggampeta,22416,22416,31566,14976,14218
2019-2020,28,Andhra Pradesh,746,Kakinada,4887,Kirlampudi,18648,18648,22574,8989,10491
2019-2020,28,Andhra Pradesh,746,Kakinada,4900,Peddapuram,19107,19107,21574,8250,10739
2019-2020,28,Andhra Pradesh,746,Kakinada,4901,Pithapuram,19475,19475,27527,10626,13826
2019-2020,28,Andhra Pradesh,746,Kakinada,4890,U.Kothapalli,21991,21991,25990,13512,13284
2019-2020,28,Andhra Pradesh,746,Kakinada,4883,Kakinada (Rural),13867,13867,20019,12362,6324
2019-2020,28,Andhra Pradesh,746,Kakinada,4913,Samalkota,16499,16499,19292,9592,9045
2019-2020,28,Andhra Pradesh,505,East Godavari,4908,Rangampeta,16333,16333,17820,7960,10094
2019-2020,28,Andhra Pradesh,746,Kakinada,4875,Gandepalle,16118,16118,17647,8762,9562
2019-2020,28,Andhra Pradesh,505,East Godavari,4904,Rajanagaram,20022,20022,22709,11442,10696
2019-2020,28,Andhra Pradesh,505,East Godavari,4903,Rajahmundry(Rural),8542,8542,4826,3511,4718
