state_name,state_code,district_name,district_code,block_name,block_code,gw_stge_of_extraction,gw_extraction_category
Haryana,6,Kaithal,66,Kaithal,506,205.10189343901368,Over-exploited
Haryana,6,Kaithal,66,Kalayat,507,212.0059809149773,Over-exploited
Haryana,6,Kaithal,66,Pundri,508,170.11564900478157,Over-exploited
Haryana,6,Kaithal,66,Rajound,509,184.28896086035704,Over-exploited
Haryana,6,Kaithal,66,Siwan,510,209.10315915556225,Over-exploited
Haryana,6,Kaithal,66,Dhand,7097,225.62694926467265,Over-exploited
Haryana,6,Karnal,67,Assandh,511,191.1888916313605,Over-exploited
Haryana,6,Karnal,67,Gharaunda (Part),512,146.34653816539637,Over-exploited
Haryana,6,Karnal,67,Indri,513,75.44014194,Semi-critical
Haryana,6,Karnal,67,Karnal,514,159.70282913705793,Over-exploited
Haryana,6,Karnal,67,Nilokheri,515,216.5794080338644,Over-exploited
Haryana,6,Karnal,67,Nissing At Chirao,516,211.95830601490977,Over-exploited
Haryana,6,Karnal,67,Munak,7098,236.8161296182908,Over-exploited
Haryana,6,Karnal,67,Kunjpura,7099,173.2361719098136,Over-exploited
Haryana,6,Kurukshetra,68,Babain,517,284.5186203466404,Over-exploited
Haryana,6,Kurukshetra,68,Ladwa,518,284.6174356044375,Over-exploited
Haryana,6,Kurukshetra,68,Pehowa,519,184.8245251,Over-exploited
Haryana,6,Kurukshetra,68,Shahbad,520,247.86378644497503,Over-exploited
Haryana,6,Kurukshetra,68,Thanesar,521,295.82995654195446,Over-exploited
Haryana,6,Kurukshetra,68,Ismailabad,6733,256.01055934978945,Over-exploited
Haryana,6,Kurukshetra,68,Pipli,7100,228.6110367556232,Over-exploited
Haryana,6,Mahendragarh,69,Ateli Nangal,522,91.28983939,Critical
Haryana,6,Mahendragarh,69,Kanina,523,173.75305647774485,Over-exploited
Haryana,6,Mahendragarh,69,Mahendragarh,524,114.17578294749396,Over-exploited
Haryana,6,Mahendragarh,69,Nangal Chaudhry,525,61.60741765336408,Safe
Haryana,6,Mahendragarh,69,Narnaul,526,45.22880361566208,Safe
Haryana,6,Mahendragarh,69,Sihma,6731,126.1473799747685,Over-exploited
Haryana,6,Mahendragarh,69,Nizampur,6776,28.67448610663181,Safe
Haryana,6,Mahendragarh,69,Satnali,6777,75.11459712743199,Semi-critical
Haryana,6,Panchkula,70,Barwala,527,67.00878690032329,Safe
Haryana,6,Panchkula,70,Pinjore,529,31.49276567817952,Safe
Haryana,6,Panchkula,70,Raipur Rani,530,99.001967,Critical
Haryana,6,Panipat,71,Bapoli,531,220.8149886446081,Over-exploited
Haryana,6,Panipat,71,Israna,532,140.8119907970863,Over-exploited
Haryana,6,Panipat,71,Madlauda,533,137.8636717599152,Over-exploited
