as_on,state_name,state_code,district_name,district_code,block_name,block_code,sc_population,st_population,gen_population
01-04-2021,Andhra Pradesh,28,East Godavari,505,Katrenikona,4886,28146,512,57382
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kirlampudi,4887,10558,238,77536
01-04-2021,Andhra Pradesh,28,East Godavari,505,Korukonda,4888,18965,1130,64231
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kotananduru,4889,11481,748,39531
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kothapeta,4891,21358,673,59155
01-04-2021,Andhra Pradesh,28,East Godavari,505,Kunavaram,5076,3166,15827,6830
01-04-2021,Andhra Pradesh,28,East Godavari,505,Malkipuram,4892,22450,396,56960
01-04-2021,Andhra Pradesh,28,East Godavari,505,Mamidikururu,4893,19739,894,55651
01-04-2021,Andhra Pradesh,28,East Godavari,505,Mandapeta,4894,11551,575,71450
01-04-2021,Andhra Pradesh,28,East Godavari,505,Maredimilli,4895,89,23749,1216
01-04-2021,Andhra Pradesh,28,East Godavari,505,Mummidivaram,4896,12023,429,34622
01-04-2021,Andhra Pradesh,28,East Godavari,505,Nellipaka,6829,6347,19667,13645
01-04-2021,Andhra Pradesh,28,East Godavari,505,P.Gannavaram,4897,27869,668,52777
01-04-2021,Andhra Pradesh,28,East Godavari,505,Pedapudi,4899,12552,352,66981
01-04-2021,Andhra Pradesh,28,East Godavari,505,Peddapuram,4900,15490,149,67496
01-04-2021,Andhra Pradesh,28,East Godavari,505,Pithapuram,4901,17232,201,65492
01-04-2021,Andhra Pradesh,28,East Godavari,505,Prathipadu,4902,17753,4257,64687
01-04-2021,Andhra Pradesh,28,East Godavari,505,Rajahmundry®,4903,28255,1592,137126
01-04-2021,Andhra Pradesh,28,East Godavari,505,Rajanagaram,4904,18157,588,97418
01-04-2021,Andhra Pradesh,28,East Godavari,505,Rajavommangi,4905,821,25198,16203
01-04-2021,Andhra Pradesh,28,East Godavari,505,Ramachandrapuram,4906,15566,507,59903
01-04-2021,Andhra Pradesh,28,East Godavari,505,Rampachodavaram,4907,1092,31804,7073
01-04-2021,Andhra Pradesh,28,East Godavari,505,Rangampeta,4908,13530,839,51030
01-04-2021,Andhra Pradesh,28,East Godavari,505,Ravulapalem,4909,12925,925,69548
01-04-2021,Andhra Pradesh,28,East Godavari,505,Rayavaram,4910,10262,505,59583
01-04-2021,Andhra Pradesh,28,East Godavari,505,Razole,4911,23104,707,52720
01-04-2021,Andhra Pradesh,28,East Godavari,505,Rowthulapudi,6501,9611,5422,44977
01-04-2021,Andhra Pradesh,28,East Godavari,505,Sakhinetipalli,4912,22944,431,56557
